uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,Panel Respondent,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week
6128,2020-05-09,Yes,Yes,2.43123,Very Good,61,Male,3.0,None,3.0,3.0,No,,2.0,Yes,No,No,No,Yes,3.0,No,No,No,Most are underestimating the risks,Unsure,No,No,White,No,White,IVR,No,Caucasian,517.0,2.0,4.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,CALDWELL,True,week6
732,2020-05-09,Yes,Yes,0.501321,Very Good,49,Female,4.0,None,3.0,3.0,Yes,,4.0,Yes,No,,,,9.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,,,,0,White,IVR,Yes,Caucasian,560.0,4.0,4.0,Democrat,3.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,SAMPSON,True,week6
6129,2020-05-09,Yes,Yes,0.799104,Good,78,Male,1.0,None,1.0,0.0,No,,1.0,No,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,517.0,5.0,5.0,Republican,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,MECKLENBURG,True,week6
6130,2020-05-09,Yes,Yes,0.501321,Very Good,47,Female,5.0,Three or more,4.0,2.0,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,0,White,IVR,No,Caucasian,560.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,WAKE,True,week6
6131,2020-05-09,Yes,Yes,0.164776,Very Good,70,Female,3.0,None,0.0,,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,No,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,DURHAM,True,week6
3,2020-05-09,Yes,No,1.1897,Good,56,Female,2.0,None,9.0,4.0,Yes,,5.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Yes,Caucasian,560.0,4.0,,Other / Unaffiliated,,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,True,week6
4853,2020-05-09,No,,1.9683700000000002,Good,49,Male,2.0,None,9.0,4.0,Yes,,0.0,Yes,,,,Yes,9.0,Yes,No,Yes,Most are overreacting to the actual risks,Large changes,No,No,White,Yes,White,IVR,Yes,,,,,,,,,,,,,,,,,,,,,,,,True,week6
6132,2020-05-09,Yes,Yes,0.588692,Good,74,Female,2.0,None,5.0,4.0,No,,0.0,No,No,No,No,Yes,3.0,No,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,517.0,1.0,5.0,Republican,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,LINCOLN,True,week6
6133,2020-05-09,No,,1.15171,Good,51,Female,4.0,Two,0.0,,No,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,No,,,,,,,,,,,,,,,,,,,,,,,,True,week6
5541,2020-05-09,Yes,Yes,0.7736390000000001,Fair,61,Male,4.0,None,1.0,0.0,Yes,,3.0,Yes,No,No,No,No,9.0,Yes,Yes,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Yes,Caucasian,550.0,5.0,5.0,Other / Unaffiliated,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,BRUNSWICK,True,week6
3498,2020-05-09,Yes,Yes,0.37854899999999997,Good,82,Female,2.0,None,0.0,,No,,,,,,,,,,,,,,,,,0,Black,IVR,Yes,Black,560.0,5.0,5.0,Democrat,,3.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,,,,,2.0,1.0,1.0,5.0,WAKE,False,week6
6134,2020-05-09,Yes,Yes,1.9683700000000002,Very Good,51,Male,2.0,None,3.0,3.0,Yes,,0.0,Yes,No,Yes,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,No real changes,No,No,White,Yes,White,IVR,No,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,ROCKINGHAM,True,week6
6135,2020-05-09,Yes,Yes,0.530798,Good,77,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,5.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,560.0,4.0,5.0,Other / Unaffiliated,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,CHATHAM,True,week6
6136,2020-05-09,Yes,Yes,0.588692,Good,74,Female,2.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,IVR,No,Caucasian,517.0,4.0,5.0,Democrat,5.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,BURKE,True,week6
6137,2020-05-09,Yes,Yes,0.37854899999999997,Fair,71,Female,3.0,None,9.0,9.0,Unsure,,9.0,Yes,No,,9,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,Black,Yes,Black,IVR,No,Black,560.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,CUMBERLAND,True,week6
1943,2020-05-09,Yes,Yes,1.3525200000000002,Very Good,64,Female,2.0,None,0.0,,No,,0.0,Yes,,,,,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,IVR,Yes,Caucasian,545.0,5.0,5.0,Other / Unaffiliated,3.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,PITT,True,week6
6138,2020-05-09,Yes,Yes,0.391034,Fair,68,Female,7.0,Two,1.0,1.0,Yes,No,0.0,Yes,,,,,3.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,560.0,5.0,5.0,Democrat,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,NASH,True,week6
6139,2020-05-09,Yes,Yes,0.6469689999999999,Very Good,86,Male,1.0,None,2.0,2.0,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,518.0,5.0,5.0,Democrat,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,FORSYTH,True,week6
2763,2020-05-09,Yes,Yes,0.164776,Very Good,73,Female,1.0,None,2.0,2.0,No,,1.0,No,Yes,No,No,No,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Yes,Caucasian,560.0,5.0,5.0,Democrat,5.0,5.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,ORANGE,True,week6
6140,2020-05-09,Yes,Yes,0.223671,Very Good,69,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,No,Caucasian,560.0,5.0,5.0,Democrat,3.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,DURHAM,True,week6
4242,2020-05-09,No,,0.430357,Fair,69,Female,2.0,None,2.0,2.0,No,,2.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Unsure,No,No,Black,Yes,Black,IVR,Yes,,,,,,,,,,,,,,,,,,,,,,,,True,week6
6141,2020-05-09,Yes,Yes,0.569896,Good,79,Female,2.0,None,0.0,,No,,0.0,No,No,,,,8.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,Black,No,Black,IVR,No,Black,517.0,5.0,5.0,Democrat,3.0,4.0,2.0,3.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,MECKLENBURG,True,week6
6142,2020-05-09,Yes,Yes,0.44455,Fair,72,Female,2.0,None,7.0,6.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Unsure,No,No,White,Yes,White,IVR,No,Caucasian,545.0,5.0,4.0,Democrat,3.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,PITT,True,week6
6143,2020-05-09,Yes,Yes,0.658778,Good,64,Male,3.0,None,1.0,1.0,No,,1.0,Yes,No,No,No,No,8.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Another race,Yes,Another race,IVR,No,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,CHATHAM,True,week6
2673,2020-05-09,No,,1.3525200000000002,Good,49,Female,3.0,One,0.0,,Yes,No,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Yes,,,,,,,,,,,,,,,,,,,,,,,,True,week6
6144,2020-05-09,Yes,Yes,0.476616,Good,82,Female,1.0,None,3.0,,,,,,,,,,,,,,,,,,,0,White,IVR,No,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,DAVIE,False,week6
6145,2020-05-09,Yes,Yes,0.7736390000000001,Very Good,55,Male,2.0,None,4.0,3.0,No,,0.0,Yes,No,No,No,Yes,8.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,No,Caucasian,567.0,5.0,5.0,Democrat,3.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,JACKSON,True,week6
6146,2020-05-09,Yes,Yes,0.530798,Very Good,69,Male,1.0,None,3.0,1.0,No,,0.0,No,No,No,No,No,4.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,No,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,JOHNSTON,True,week6
6147,2020-05-09,No,,3.69666,Very Good,22,Male,4.0,Two,0.0,,No,No,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,No,,,,,,,,,,,,,,,,,,,,,,,,True,week6
6148,2020-05-09,No,,0.799104,Fair,68,Male,2.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,No real changes,No,No,White,Yes,White,IVR,No,,,,,,,,,,,,,,,,,,,,,,,,True,week6
2531,2020-05-09,Yes,Yes,0.6469689999999999,Good,68,Male,1.0,None,0.0,,No,,1.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Yes,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,RANDOLPH,True,week6
6149,2020-05-09,Yes,Yes,0.181346,Fair,76,Female,4.0,None,3.0,2.0,Yes,,,,,,,,,,,,,,,,,0,Black,IVR,No,Black,545.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,PITT,False,week6
6150,2020-05-09,Yes,Yes,0.829442,Good,63,Male,3.0,None,0.0,,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are overreacting to the actual risks,Large changes,Yes,No,White,Yes,White,IVR,No,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,RANDOLPH,True,week6
